unit_id,parent_id,teryt_id,name,level,kind
040416707074,040416707073,0407074,Pakość,6,4
040416709034,040416709033,0409034,Mogilno,6,4
040416709044,040416709043,0409044,Strzelno,6,4
040416710014,040416710013,0410014,Kcynia,6,4
040416710024,040416710023,0410024,Mrocza,6,4
040416710034,040416710033,0410034,Nakło nad Notecią,6,4
040416710054,040416710053,0410054,Szubin,6,4
040416719014,040416719013,0419014,Barcin,6,4
040416719034,040416719033,0419034,Janowiec Wielkopolski,6,4
040416719044,040416719043,0419044,Łabiszyn,6,4
040416719064,040416719063,0419064,Żnin,6,4
040416813014,040416813013,0413014,Kamień Krajeński,6,4
040416813024,040416813023,0413024,Sępólno Krajeńskie,6,4
040416813044,040416813043,0413044,Więcbork,6,4
040416814064,040416814063,0414064,Nowe,6,4
040416814084,040416814083,0414084,Pruszcz,6,4
040416814094,040416814093,0414094,Świecie,6,4
040416816064,040416816063,0416064,Tuchola,6,4
